date,trade_balance
1989-03-31,-6303216422
1989-06-30,-9121501327
1989-09-30,-8047169413
1989-12-31,-6408552970
1990-03-31,-6213689304
1990-06-30,-6006718614
1990-09-30,-9750952568
1990-12-31,-6282845718
1991-03-31,-1947669470
1991-06-30,-4144303814
1991-09-30,-6850094111
1991-12-31,-5726236601
1992-03-31,-3821477540
1992-06-30,-6479240505
1992-09-30,-9430678379
1992-12-31,-7396282460
1993-03-31,-8626420378
1993-06-30,-11751672789
1993-09-30,-12799117243
1993-12-31,-7321570990
1994-03-31,-8702494912
1994-06-30,-14012467521
1994-09-30,-15262503908
1994-12-31,-10361030391
1995-03-31,-11149039447
1995-06-30,-14809462495
1995-09-30,-13818544718
1995-12-31,-8421468285
1996-03-31,-8859004791
1996-06-30,-12249696191
1996-09-30,-17580493314
1996-12-31,-13236570314
1997-03-31,-9337828650
1997-06-30,-13503499423
1997-09-30,-19256056239
1997-12-31,-15514383268
1998-03-31,-16164550590
1998-06-30,-20285708263
1998-09-30,-22843427137
1998-12-31,-17378907377
1999-03-31,-23685588514
1999-06-30,-29988536957
1999-09-30,-31410141104
1999-12-31,-27489056720
2000-03-31,-34434312136
2000-06-30,-35862997723
2000-09-30,-39593315653
2000-12-31,-32870913203
2001-03-31,-32633433703
2001-06-30,-32992139574
2001-09-30,-34707530877
2001-12-31,-26830737908
2002-03-31,-30803834625
2002-06-30,-36863610155
2002-09-30,-42237426862
2002-12-31,-44597872087
2003-03-31,-42851561205
2003-06-30,-42664438449
2003-09-30,-48772189515
2003-12-31,-46394893986
2004-03-31,-49411131260
2004-06-30,-60013814036
2004-09-30,-57000131456
2004-12-31,-55926699871
2005-03-31,-55684268270
2005-06-30,-64034293715
2005-09-30,-71570202485
2005-12-31,-64380824674
2006-03-31,-62064632970
2006-06-30,-69992130953
2006-09-30,-69960480195
2006-12-31,-59710693385
2007-03-31,-60713088999
2007-06-30,-64372715557
2007-09-30,-64187961934
2007-12-31,-60081177907
2008-03-31,-58184020922
2008-06-30,-70046279242
2008-09-30,-74058731769
2008-12-31,-48444833482
2009-03-31,-33284547247
2009-06-30,-40200373760
2009-09-30,-49792448050
2009-12-31,-46443685503
2010-03-31,-47218576900
2010-06-30,-61170436135
2010-09-30,-59437197794
2010-12-31,-49071257823
2011-03-31,-54251938386
2011-06-30,-66581505978
2011-09-30,-62534765895
2011-12-31,-57625356220
2012-03-31,-57131066822
2012-06-30,-59207807965
2012-09-30,-57422778868
2012-12-31,-46353231463
2013-03-31,-45208542875
2013-06-30,-50380049325
2013-09-30,-63563362586
2013-12-31,-50547245412
2014-03-31,-52322984264
2014-06-30,-59870529709
2014-09-30,-70061036762
2014-12-31,-62274420491
2015-03-31,-64566528470
2015-06-30,-66404047109
2015-09-30,-66629541000
2015-12-31,-59653658380
2016-03-31,-52878296489
2016-06-30,-63440823608
2016-09-30,-61502855757
2016-12-31,-57102117274
2017-03-31,-58089106466
2017-06-30,-65463225644
2017-09-30,-64174388491
2017-12-31,-64082910684
2018-03-31,-58423653837
2018-06-30,-65754115947
2018-09-30,-71928565547
2018-12-31,-72641595770
2019-03-31,-58961669617
2019-06-30,-68247532263
2019-09-30,-71767023651
2019-12-31,-66421729689
2020-03-31,-60627098719
2020-06-30,-74015670506
2020-09-30,-84635768145
2020-12-31,-82245739756
2021-03-31,-84263436461
2021-06-30,-94255518952
2021-09-30,-102009288956
2021-12-31,-97563695275
2022-03-31,-115184523489
2022-06-30,-102700165035
2022-09-30,-98493745298
2022-12-31,-86414920428
2023-03-31,-77673268203
2023-06-30,-90056597047
2023-09-30,-88972720400
2023-12-31,-79349710789
2024-03-31,-79716903106
2024-06-30,-92076334047
2024-09-30,-114627041103
2024-12-31,-119552920153
2025-03-31,-151628824772
2025-06-30,-85668156889
2025-09-30,-90016314648
2025-12-31,-103199185777
